Date,Value
1/31/02,282.3
2/28/02,296.85
3/31/02,301.4
4/30/02,308.2
5/31/02,326.6
6/30/02,318.5
7/31/02,304.65
8/31/02,312.8
9/30/02,323.7
10/31/02,316.9
11/30/02,319.05
12/31/02,347.2
1/31/03,367.5
2/28/03,347.45
3/31/03,334.85
4/30/03,336.75
5/31/03,361.4
6/30/03,346
7/31/03,354.75
8/31/03,375.6
9/30/03,388
10/31/03,386.25
11/30/03,398.35
12/31/03,416.25
1/31/04,399.75
2/29/04,395.85
3/31/04,423.7
4/30/04,388.5
5/31/04,393.25
6/30/04,395.8
7/31/04,391.4
8/31/04,407.25
9/30/04,415.65
10/31/04,425.55
11/30/04,453.4
12/31/04,435.6
1/31/05,422.15
2/28/05,435.45
3/31/05,427.5
4/30/05,435.7
5/31/05,414.45
6/30/05,437.1
7/31/05,429
8/31/05,433.25
9/30/05,473.25
10/31/05,470.75
11/30/05,495.65
12/31/05,513
1/31/06,568.75
2/28/06,556
3/31/06,582
4/30/06,644
5/31/06,653
6/30/06,613.5
7/31/06,632.5
8/31/06,623.5
9/30/06,599.25
10/31/06,603.75
11/30/06,646.7
12/31/06,632
1/31/07,650.5
2/28/07,664.2
3/31/07,661.75
4/30/07,677
5/31/07,659.1
6/30/07,650.5
7/31/07,665.5
8/31/07,672
9/30/07,743
10/31/07,789.5
11/30/07,783.5
12/31/07,833.75
1/31/08,923.25
2/29/08,971.5
3/31/08,933.5
4/30/08,871
5/31/08,885.75
6/30/08,930.25
7/31/08,918
8/31/08,833
9/30/08,884.5
10/31/08,730.75
11/30/08,814.5
12/31/08,869.75
1/31/09,919.5
2/28/09,952
3/31/09,916.5
4/30/09,883.25
5/31/09,975.5
6/30/09,934.5
7/31/09,939
8/31/09,955.5
9/30/09,995.75
10/31/09,1040
11/30/09,1175.75
12/31/09,1087.5
1/31/10,1078.5
2/28/10,1108.25
3/31/10,1115.5
4/30/10,1179.25
5/31/10,1207.5
6/30/10,1244
7/31/10,1169
8/31/10,1246
9/30/10,1307
10/31/10,1346.75
11/30/10,1383.5
12/31/10,1405.5
1/31/11,1327
2/28/11,1411
3/31/11,1439
4/30/11,1535.5
5/31/11,1536.5
6/30/11,1505.5
7/31/11,1628.5
8/31/11,1813.5
9/30/11,1620
10/31/11,1722
11/30/11,1746
12/31/11,1531
1/31/12,1744
2/29/12,1770
3/31/12,1662.5
4/30/12,1651.25
5/31/12,1558
6/30/12,1598.5
7/31/12,1622
8/31/12,1648.5
9/30/12,1776
10/31/12,1719
11/30/12,1726
12/31/12,1657.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,