year,month,Value
2002,January,282.3
2002,February,296.85
2002,March,301.4
2002,April,308.2
2002,May,326.6
2002,June,318.5
2002,July,304.65
2002,August,312.8
2002,September,323.7
2002,October,316.9
2002,November,319.05
2002,December,347.2
2003,January,367.5
2003,February,347.45
2003,March,334.85
2003,April,336.75
2003,May,361.4
2003,June,346
2003,July,354.75
2003,August,375.6
2003,September,388
2003,October,386.25
2003,November,398.35
2003,December,416.25
2004,January,399.75
2004,February,395.85
2004,March,423.7
2004,April,388.5
2004,May,393.25
2004,June,395.8
2004,July,391.4
2004,August,407.25
2004,September,415.65
2004,October,425.55
2004,November,453.4
2004,December,435.6
2005,January,422.15
2005,February,435.45
2005,March,427.5
2005,April,435.7
2005,May,414.45
2005,June,437.1
2005,July,429
2005,August,433.25
2005,September,473.25
2005,October,470.75
2005,November,495.65
2005,December,513
2006,January,568.75
2006,February,556
2006,March,582
2006,April,644
2006,May,653
2006,June,613.5
2006,July,632.5
2006,August,623.5
2006,September,599.25
2006,October,603.75
2006,November,646.7
2006,December,632
2007,January,650.5
2007,February,664.2
2007,March,661.75
2007,April,677
2007,May,659.1
2007,June,650.5
2007,July,665.5
2007,August,672
2007,September,743
2007,October,789.5
2007,November,783.5
2007,December,833.75
2008,January,923.25
2008,February,971.5
2008,March,933.5
2008,April,871
2008,May,885.75
2008,June,930.25
2008,July,918
2008,August,833
2008,September,884.5
2008,October,850
2008,November,814.5
2008,December,869.75
2009,January,919.5
2009,February,952
2009,March,916.5
2009,April,883.25
2009,May,975.5
2009,June,934.5
2009,July,939
2009,August,955.5
2009,September,995.75
2009,October,1040
2009,November,1050
2009,December,1087.5
2010,January,1078.5
2010,February,1108.25
2010,March,1115.5
2010,April,1179.25
2010,May,1207.5
2010,June,1244
2010,July,1169
2010,August,1246
2010,September,1307
2010,October,1346.75
2010,November,1383.5
2010,December,1405.5
2011,January,1327
2011,February,1411
2011,March,1439
2011,April,1535.5
2011,May,1536.5
2011,June,1505.5
2011,July,1628.5
2011,August,1813.5
2011,September,1620
2011,October,1722
2011,November,1746
2011,December,1531
2012,January,1744
2012,February,1770
2012,March,1662.5
2012,April,1651.25
2012,May,1558
2012,June,1598.5
2012,July,1622
2012,August,1648.5
2012,September,1776
2012,October,1719
2012,November,1726
2012,December,1657.5
2013,January,1664.75
2013,February,1588.5
2013,March,1598.25
2013,April,1469
2013,May,1394.5
2013,June,1192
2013,July,1314.5
2013,August,1394.75
2013,September,1326.5
2013,October,1324
2013,November,1253
2013,December,1204.5
2014,January,1251
2014,February,1326.5
2014,March,1291.75
2014,April,1288.5
2014,May,1250.5
2014,June,1315
2014,July,1285.25
2014,August,1285.75
2014,September,1216.5
2014,October,1164.25
2014,November,1182.75
2014,December,1206
2015,January,1260.25
2015,February,1214
2015,March,1187
2015,April,1180.25
2015,May,1191.4
2015,June,1171
2015,July,1098.4
2015,August,1135
2015,September,1114
2015,October,1142.35
2015,November,1061.9
2015,December,1060
2016,January,1111.8
2016,February,1234.9
2016,March,1237
2016,April,1285.65
2016,May,1212.1
2016,June,1320.75
2016,July,1342
2016,August,1309.25
2016,September,1322.5
2016,October,1272
2016,November,1178.1
2016,December,1145.9
2017,January,1212.8
2017,February,1255.6
2017,March,1244.85
2017,April,1266.45
2017,May,1266.2
2017,June,1242.25
2017,July,1267.55
2017,August,1311.75
2017,September,1283.1
2017,October,1270.15
2017,November,1280.2
2017,December,1291
2018,January,1345.05
2018,February,1317.85
2018,March,1323.85
2018,April,1313.2
2018,May,1305.35
2018,June,1250.45
2018,July,1220.95
2018,August,1202.45
2018,September,1187.25
2018,October,1214.95
2018,November,1217.55
2018,December,1279